  x d=-0.01  y d=-0.01  x d=-0.03  y d=-0.03  x d=-0.06  y d=-0.06  x d=-0.09  y d=-0.09  x d=-0.12  y d=-0.12  x d=-0.15  y d=-0.15  x d=-0.18  y d=-0.18
  -0.13260   -1.37833   -0.11811   -1.36455   -0.09637   -1.34388   -0.07463   -1.32320   -0.05289   -1.30253   -0.03115   -1.28186   -0.00941   -1.26118
  -0.12818   -1.38298   -0.11352   -1.36938   -0.09152   -1.34898   -0.06952   -1.32858   -0.04753   -1.30818   -0.02553   -1.28778   -0.00353   -1.26739
  -0.12383   -1.38768   -0.10899   -1.37426   -0.08674   -1.35414   -0.06449   -1.33402   -0.04223   -1.31390   -0.01998   -1.29378    0.00227   -1.27366
  -0.11953   -1.39243   -0.10453   -1.37921   -0.08202   -1.35937   -0.05952   -1.33953   -0.03702   -1.31969   -0.01451   -1.29985    0.00799   -1.28001
  -0.11529   -1.39724   -0.10012   -1.38420   -0.07737   -1.36465   -0.05462   -1.34509   -0.03187   -1.32554   -0.00912   -1.30598    0.01363   -1.28643
  -0.11111   -1.40210   -0.09578   -1.38926   -0.07279   -1.36999   -0.04979   -1.35072   -0.02680   -1.33145   -0.00380   -1.31218    0.01919   -1.29292
  -0.10700   -1.40701   -0.09151   -1.39436   -0.06827   -1.37538   -0.04504   -1.35641   -0.02180   -1.33743    0.00143   -1.31845    0.02467   -1.29948
  -0.10294   -1.41198   -0.08730   -1.39952   -0.06383   -1.38084   -0.04035   -1.36215   -0.01688   -1.34347    0.00659   -1.32479    0.03006   -1.30610
  -0.09895   -1.41699   -0.08315   -1.40473   -0.05945   -1.38635   -0.03574   -1.36796   -0.01204   -1.34957    0.01167   -1.33118    0.03537   -1.31280
  -0.09503   -1.42206   -0.07907   -1.41000   -0.05514   -1.39191   -0.03120   -1.37382   -0.00727   -1.35573    0.01666   -1.33765    0.04060   -1.31956
  -0.09116   -1.42717   -0.07506   -1.41531   -0.05090   -1.39753   -0.02674   -1.37974   -0.00258   -1.36196    0.02158   -1.34417    0.04574   -1.32638
  -0.08736   -1.43233   -0.07111   -1.42068   -0.04673   -1.40320   -0.02235   -1.38572    0.00203   -1.36824    0.02641   -1.35075    0.05079   -1.33327
  -0.08363   -1.43754   -0.06723   -1.42609   -0.04263   -1.40892   -0.01803   -1.39175    0.00656   -1.37457    0.03116   -1.35740    0.05576   -1.34023
  -0.07996   -1.44280   -0.06342   -1.43155   -0.03861   -1.41469   -0.01380   -1.39783    0.01102   -1.38097    0.03583   -1.36410    0.06064   -1.34724
  -0.07636   -1.44810   -0.05968   -1.43706   -0.03466   -1.42051   -0.00963   -1.40396    0.01539   -1.38742    0.04041   -1.37087    0.06543   -1.35432
  -0.07283   -1.45344   -0.05601   -1.44262   -0.03078   -1.42639   -0.00555   -1.41015    0.01968   -1.39392    0.04491   -1.37769    0.07013   -1.36145
  -0.06936   -1.45883   -0.05241   -1.44822   -0.02698   -1.43231   -0.00155   -1.41639    0.02389   -1.40048    0.04932   -1.38456    0.07475   -1.36865
  -0.06596   -1.46427   -0.04887   -1.45387   -0.02325   -1.43827    0.00238   -1.42268    0.02801   -1.40709    0.05364   -1.39149    0.07927   -1.37590
  -0.06263   -1.46974   -0.04541   -1.45956   -0.01959   -1.44429    0.00623   -1.42902    0.03205   -1.41375    0.05787   -1.39847    0.08370   -1.38320
  -0.05937   -1.47526   -0.04203   -1.46529   -0.01601   -1.45035    0.01000   -1.43540    0.03601   -1.42046    0.06202   -1.40551    0.08803   -1.39057
  -0.05618   -1.48081   -0.03871   -1.47107   -0.01251   -1.45645    0.01369   -1.44183    0.03988   -1.42722    0.06608   -1.41260    0.09228   -1.39798
  -0.05305   -1.48641   -0.03547   -1.47689   -0.00909   -1.46260    0.01729   -1.44831    0.04367   -1.43403    0.07005   -1.41974    0.09643   -1.40545
  -0.05000   -1.49205   -0.03230   -1.48274   -0.00574   -1.46879    0.02082   -1.45484    0.04737   -1.44088    0.07393   -1.42693    0.10049   -1.41297
  -0.04702   -1.49772   -0.02920   -1.48864   -0.00247   -1.47502    0.02426   -1.46140    0.05099   -1.44778    0.07772   -1.43416    0.10445   -1.42054
  -0.04411   -1.50343   -0.02618   -1.49458    0.00072   -1.48129    0.02762   -1.46801    0.05452   -1.45473    0.08142   -1.44145    0.10832   -1.42816
  -0.04128   -1.50918   -0.02323   -1.50055    0.00383   -1.48761    0.03089   -1.47466    0.05796   -1.46172    0.08502   -1.44877    0.11209   -1.43583
  -0.03851   -1.51496   -0.02036   -1.50656    0.00686   -1.49396    0.03409   -1.48135    0.06131   -1.46875    0.08854   -1.45615    0.11576   -1.44355
  -0.03582   -1.52078   -0.01757   -1.51260    0.00981   -1.50034    0.03720   -1.48808    0.06458   -1.47583    0.09196   -1.46357    0.11934   -1.45131
  -0.03320   -1.52663   -0.01485   -1.51868    0.01269   -1.50677    0.04022   -1.49485    0.06775   -1.48294    0.09528   -1.47103    0.12282   -1.45911
  -0.03066   -1.53251   -0.01220   -1.52480    0.01548   -1.51323    0.04316   -1.50166    0.07084   -1.49009    0.09852   -1.47853    0.12620   -1.46696
